"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Molecular Sequence Numbers","Chemicals/CAS","Funding Texts","References","Editors","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"A.D.S., Vicente, Aline De Souza; L.F., Gabriel, Luciano Ferreira; L.D., de Carvalho, Luciano Dias","Vicente, Aline De Souza (60085804600); Gabriel, Luciano Ferreira (24536648300); de Carvalho, Luciano Dias (55631029800)","60085804600; 24536648300; 55631029800","Economic growth and productive sectors: recent empirical data on middle-income countries","2025","CEPAL Review","2025","145","","43","63","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015105761&partnerID=40&md5=202558d187e6d0c18602bdcd3120fce3","Universidade Federal de Vicosa, Vicosa, Brazil; Universidade Federal de Juiz de Fora, Juiz de Fora, Brazil","Vicente, Aline De Souza, Universidade Federal de Vicosa, Vicosa, Brazil; Gabriel, Luciano Ferreira, Department of Economics and Finance, Universidade Federal de Juiz de Fora, Juiz de Fora, Brazil; de Carvalho, Luciano Dias, Universidade Federal de Vicosa, Vicosa, Brazil","This article examines how structural change affected economic growth in middle-income developing countries between 1960 and 2019, especially in Brazil (between 1948 and 2020), using the vector autoregression (VAR) model and panel data. The VAR model suggests that structural change in Brazil resulted in the services sector having a greater impact on economic growth owing to the transfer of resources from high-productivity sectors to low-productivity sectors, which reduced the rate of economic growth. Panel data suggest that economic growth in the sample of countries continues to be heavily influenced by the industrial sector and that the weaker momentum of the industrial sector in Brazil is one of the reasons why the country is falling behind. © 2025 Elsevier B.V., All rights reserved.","Brazil; Economic Growth; Economic Structure; Industrial Sector; Middle-income Countries; Productivity; Structural Adjustment","","","","","Acemoglu, Daron, Chapter 6 Institutions as a Fundamental Cause of Long-Run Growth, Handbook of Economic Growth, 1, SUPPL. PART A, pp. 385-472, (2005); Produtividade no Brasil Desempenho E Determinantes, (2015); American Economic Review, (1967); Texto Para Discussao, (2010); Economics the User S Guide, (2014); American Economic Review, (1960); Economia, (2007); Dasgupta, Sukti, Will services be the new engine of Indian economic growth?, Development and Change, 36, 6, pp. 1035-1057, (2005); Doré, Natalia Izelli, The role of human capital, structural change, and institutional quality on Brazil's economic growth over the last two hundred years (1822–2019), Structural Change and Economic Dynamics, 66, pp. 1-12, (2023); Eichengreen, Barry J., The two waves of service-sector growth, Oxford Economic Papers, 65, 1, pp. 96-123, (2013)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015105761"
"D.A.C., López, Diego Andrés Cardoso; J.A., López Cabrera, Jesús Antonio","López, Diego Andrés Cardoso (60014278400); López Cabrera, Jesús Antonio (58516904700)","60014278400; 58516904700","Empirical evidence for Okun’s law in Colombia: an analysis of rural areas at the region level","2025","CEPAL Review","2025","145","","107","125","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015105338&partnerID=40&md5=d4684386596da77c2189fe1dc2cd6e77","Administrative and Accounting Sciences at the Los Libertadores University Foundation, Colombia; Tecnológico de Monterrey, Monterrey, Mexico","López, Diego Andrés Cardoso, Department of Economics, Administrative and Accounting Sciences at the Los Libertadores University Foundation, Colombia; López Cabrera, Jesús Antonio, Government, Tecnológico de Monterrey, Monterrey, Mexico","This article analyses the relationship between income and unemployment, controlling for the variable of human capital, in rural areas of four Colombian regions. The objective is to test for the existence of the empirical regularity known as Okun’s law and thereby measure income’s impact on unemployment by region. The analysis is based on a monthly series for the period 2010–2022, and the methodologies used to determine the behaviour of this relationship include ordinary least square differences, dynamic ordinary least squares, and error correction and vector autoregressive models, establishing the existence of equilibria in the short and long terms. The results are found to be consistent with Okun’s law, showing a negative relationship between real income and unemployment and a positive one between unemployment and human capital. © 2025 Elsevier B.V., All rights reserved.","Colombia; Economic Growth; Income; Labour Market; Latin America And The Caribbean; Productivity; Rural Areas; Unemployment","","","","","Alpízar, Francisco, Determinants of food insecurity among smallholder farmer households in Central America: recurrent versus extreme weather-driven events, Regional Environmental Change, 20, 1, (2020); Rural Development and Poverty Reduction is Agriculture Still the Key, (2007); Arias, María Alejandra, Agricultural production amid conflict: Separating the effects of conflict into shocks and uncertainty, World Development, 119, pp. 165-184, (2019); Revista Economica, (2025); Card, David E., Chapter 30 The causal effect of education on earnings, Handbook of Labor Economics, 3 PART, 1, pp. 1801-1863, (1999); OECD Social Employment and Migration Working Papers, (2014); Dal Bianco, Silvia, The joint impact of labour policies and the ""Great Recession"" on unemployment in Europe, Economic Systems, 39, 1, pp. 3-26, (2015); Gran Encuesta Integrada De Hogares, (2020); Dixon, Robert J., Revisiting the Okun relationship, Applied Economics, 49, 28, pp. 2749-2765, (2017); Durech, Richard, Regional evidence on okun's law in czech republic and slovakia, Economic Modelling, 42, pp. 57-65, (2014)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015105338"
"F., Martín-Mayoral, Fernando; C.A.R., Lasso, Carlos Andrés Rivera","Martín-Mayoral, Fernando (36651137900); Lasso, Carlos Andrés Rivera (6603404713)","36651137900; 6603404713","Impact of the peace negotiations in Colombia on real GDP, 2013–2019","2025","CEPAL Review","2025","145","","147","165","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015091838&partnerID=40&md5=20505a73181c9036fa11c59dea2baca7","the Environment and Territory of the Latin American Faculty of Social Sciences (FLACSO), Ecuador; Universidad de Salamanca, Salamanca, Spain; FLACSO Ecuador, Quito, Ecuador","Martín-Mayoral, Fernando, Department of Economics, the Environment and Territory of the Latin American Faculty of Social Sciences (FLACSO), Ecuador, Universidad de Salamanca, Salamanca, Spain; Lasso, Carlos Andrés Rivera, FLACSO Ecuador, Quito, Ecuador","The peace negotiations between the Revolutionary Armed Forces of Colombia –People’s Army and the Government of Colombia, which began in late 2012 and concluded with the signing of the Final Agreement for Ending the Conflict and Building a Stable and Lasting Peace in 2016, sought to bring an end to decades of violence, loss of life, destruction of infrastructure and social fragmentation. This study uses the synthetic control method proposed by Abadie and Gardeazabal (2003) and Abadie, Diamond and Hainmueller (2010) to assess the impact of the Agreement on Colombia’s real per capita GDP growth, taking into account economic, demographic and institutional factors. The main findings indicate that Colombia has registered higher growth rates than its synthetic counterpart since 2013, reflecting a shift in the expectations of economic agents from the outset of the peace process. © 2025 Elsevier B.V., All rights reserved.","Armed Conflicts; Colombia; Economic Growth; Gross Domestic Product; Peace Agreements","","","","","Abadie, Alberto, Comparative Politics and the Synthetic Control Method, American Journal of Political Science, 59, 2, pp. 495-510, (2015); Abadie, Alberto, Synth: An R package for synthetic control methods in comparative case studies, Journal of Statistical Software, 42, 13, pp. 1-17, (2011); Abadie, Alberto, Synthetic control methods for comparative case studies: Estimating the effect of California's Tobacco control program, Journal of the American Statistical Association, 105, 490, pp. 493-505, (2010); Abadie, Alberto, The economic costs of conflict: A case study of the Basque country, American Economic Review, 93, 1, pp. 113-132, (2003); Synthetic Controls in Action, (2022); Alesina, Alberto F., Political Instability and Economic Growth, Journal of Economic Growth, 1, 2, pp. 189-211, (1996); Colombia Internacional, (2008); Controversia, (1996); Ekonomiaz Revista Vasca De Economia, (2011); La Relacion Entre Las Instituciones Y El Desarrollo Economico De Las Naciones, (2008)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015091838"
"M., Torres, Miguel","Torres, Miguel (60085939100)","60085939100","Editorial note","2025","CEPAL Review","2025","145","","7","","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015091809&partnerID=40&md5=5d083999a6e53858939cc2c470a42cc6","","Torres, Miguel, ","[No abstract available]","","","","","","","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Editorial","Final","","Scopus","2-s2.0-105015091809"
"R.A., Jiménez-Sotelo, Renzo A.","Jiménez-Sotelo, Renzo A. (58494506100)","58494506100","The influence of fiscal solvency on financial development: evidence for 140 countries, 1990–2020","2025","CEPAL Review","2025","145","","85","106","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015083979&partnerID=40&md5=9669bdb0208c9632489542d3feac5eb3","Universidad Nacional Mayor de San Marcos, Lima, Peru","Jiménez-Sotelo, Renzo A., Universidad Nacional Mayor de San Marcos, Lima, Peru","If financial development facilitates economic development at the international level, as is the consensus view, then it follows that each government’s task is to implement policies that effectively boost national financial development. This study tests the new hypothesis that a more fiscally solvent policy approach positively influences financial development. The results, based on a yearly comparison, show that fiscal solvency, approximated by the credit rating on sovereign debt denominated in local currency, affects three dimensions of financial development: (i) the depth of credit leveraging of economic activity; (ii) the efficiency of the bank lending-deposit spread; and (iii) retail access through bank branches and automatic teller machines (ATMs). The test confirms that there is one tool upon whose importance not all macroeconomic policymakers have agreed in their strategic planning for enhanced general public welfare: fiscal solvency. © 2025 Elsevier B.V., All rights reserved.","Capital Markets; Creditworthiness; Economic Development; Finance; Financial Policy; Fiscal Policy; Public Debt; Public Finance; Risk","","","","","Acemoglu, Daron, Chapter 6 Institutions as a Fundamental Cause of Long-Run Growth, Handbook of Economic Growth, 1, SUPPL. PART A, pp. 385-472, (2005); Acemoglu, Daron, The colonial origins of comparative development: An empirical investigation, American Economic Review, 91, 5, pp. 1369-1401, (2001); What Matters for Financial Development and Stability, (2015); Baltagi, Badi H., Financial development and openness: Evidence from panel data, Journal of Development Economics, 89, 2, pp. 285-296, (2009); Idb Working Paper Series, (2010); Beck, Thorsten, Finance, inequality and the poor, Journal of Economic Growth, 12, 1, pp. 27-49, (2007); Beck, Thorsten, Law and firms' access to finance, American Law and Economics Review, 7, 1, pp. 211-252, (2005); Bencivenga, Valerie R., Deficits, inflation, and the banking system in developing countries: The optimal degree of financial repression, Oxford Economic Papers, 44, 4, pp. 767-790, (1992); Basel III Finalising Post Crisis Reforms, (2017); Consultative Document the New Basel Capital Accord, (2001)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015083979"
"R.R., Guthmann, Rafael R.","Guthmann, Rafael R. (57225154495)","57225154495","On the measurement of growth over the long run","2025","CEPAL Review","2025","145","","9","42","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015072309&partnerID=40&md5=f0e9461a3d541df26ce08691f0991b88","Universidad Alberto Hurtado, Santiago, Chile","Guthmann, Rafael R., Faculty of Economics and Business, Universidad Alberto Hurtado, Santiago, Chile","Methodologies for the construction of nominal and real gross domestic product (GDP) time series often differ over time and between countries. This paper discusses the main issues raised by this methodological heterogeneity for long-run measures of economic growth and, informed by these issues, provides a set of internationally comparable GDP estimates from 1820 to 2020. The estimates are based on real product benchmarks relative to the United Kingdom as the reference economy. The GDP time series of the reference economy is a normalized composite of several indices. These estimates suggest that the Maddison Project data sets overestimate economic growth after 1950 relative to the period from 1820 to 1950. © 2025 Elsevier B.V., All rights reserved.","Economic Growth; Gross Domestic Product; National Accounts; Statistical Methodology; Time-series Analysis","","","","The author is grateful to Carlos Ponce, Marcelo de Paiva Abreu and the participants in the sixth Brazilian Economic History Workshop in S\u00E3o Paulo for helpful feedback and discussion. This paper has had no specific source of financial support.","Irish Gdp Between the Famine and the First World War Estimates Based on A Dynamic Factor Model, (2016); Journal of Political Economy, (1964); Balke, Nathan S., The estimation of prewar gross national product: Methodology and new evidence, Journal of Political Economy, 97, 1, pp. 38-92, (1989); Production and Population Since 1789 Revised Gnp Series in Constant Dollars, (1988); Rebasing Maddison New Income Comparisons and the Shape of Long Run Economic Development, (2018); Maddison Style Estimates of the Evolution of the World Economy A New 2020 Update, (2020); European Review of Economic History, (1997); Research in Economic History, (1997); Broadberry, Stephen N., Labor productivity in the United States and the United Kingdom during the nineteenth century, Explorations in Economic History, 43, 2, pp. 257-279, (2006); Broadberry, Stephen N., British economic growth, 1270–1870, pp. 1-461, (2015)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015072309"
"L.R., Centurião, Lúcia Regina","Centurião, Lúcia Regina (59738434100)","59738434100","Prices and progress? The link between inflation and structural change in post-war Brazil","2025","CEPAL Review","2025","145","","127","146","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015101691&partnerID=40&md5=36bddf4e342e6292206b828fd823e3ab","Fundacao Getulio Vargas, Rio de Janeiro, Brazil","Centurião, Lúcia Regina, Fundacao Getulio Vargas, Rio de Janeiro, Brazil","This paper employs a multivariate time series model to examine the relationship between price increases and structural change in post-war Brazil (1945–1964). To assess this relationship, the model investigates the link between prices, the industrial share of total output in the economy, net investment and industrial sector wages. With a view to addressing criticisms commonly made of the vector autoregression (VAR) family of models, and particularly the ad hoc nature of Cholesky’s decomposition method, hypotheses drawn from the economic literature on development theory were applied to the matrix of restrictions. The findings indicate that inflation played a significant role in structural change in Brazil, while the influence of structural change on inflation was less pronounced. © 2025 Elsevier B.V., All rights reserved.","Brazil; Economic Structure; Industrial Sector; Industrialization; Inflation; Post-conflict Reconstruction; Prices; Structural Adjustment; Time-series Analysis; World War (1939–1945)","","","","","Acemoglu, Daron, Capital deepening and nonbalanced economic growth, Journal of Political Economy, 116, 3, pp. 467-498, (2008); Import Substitution and Industrialization in Latin America: Experiences and Interpretations, 7, 1, pp. 95-122; American Economic Review, (1967); IMF Staff Papers, (1952); Boianovsky, Mauro, Celso Furtado and the structuralist-monetarist debate on economic stabilization in Latin America, History of Political Economy, 44, 2, pp. 278-330, (2012); Carvalho, Laura, Diversification or specialization: An analysis of the process of structural change of the Brazilian industry, Brazilian Journal of Political Economy, 31, 4, pp. 618-637, (2011); American Economic Review, (1966); Economia E Sociedade, (2020); Colistete, Renato Perim, Wages, productivity and profits in the Brazilian manufacturing industry, 1945-1978, Brazilian Journal of Political Economy, 29, 4, pp. 386-405, (2009); Danby, Colin, Noyola's institutional approach to inflation, Journal of the History of Economic Thought, 27, 2, pp. 161-178, (2005)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015101691"
"R.M., Sousa, Rafael Mde; M.P., Veríssimo, Michele Polline","Sousa, Rafael Mde (57223353788); Veríssimo, Michele Polline (55657680900)","57223353788; 55657680900","Long-term effects of real exchange rate volatility and institutional quality on economic complexity","2025","CEPAL Review","2025","145","","65","83","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015101625&partnerID=40&md5=dc1b49fc97b6fee4e2be9d72654c6683","Universidade Federal do Pará, Belem, Brazil; Universidade Federal de Uberlândia, Uberlandia, Brazil","Sousa, Rafael Mde, Universidade Federal do Pará, Belem, Brazil; Veríssimo, Michele Polline, Institute of Economics and International Relations, Universidade Federal de Uberlândia, Uberlandia, Brazil","This article analyses whether real exchange rate volatility and institutional quality, combined as conditioning variables of the productive specialization of economies, can have a negative impact on a country’s ability to achieve greater economic sophistication, especially in countries with a commodity-dominated and natural resource-based export basket. The methodology used consists of panel cointegration estimation (pooled mean group) using data from 1995 to 2018 for a sample of 54 countries. The results indicate that real exchange rate volatility is indeed an obstacle to the implementation of structural measures aimed at diversification and sophistication of a country’s productive fabric, while the quality of its institutions has a positive effect on its economic complexity and increases the possibilities for developing local capabilities. © 2025 Elsevier B.V., All rights reserved.","Commodities; Economic Research; Foreign Exchange Markets; International Trade; Natural Resources; Production","","","","","Asteriou, Dimitrios, Public debt and economic growth: panel data evidence for Asian countries, Journal of Economics and Finance, 45, 2, pp. 270-287, (2021); Avom, Désiré, Does volatility hinder economic complexity?, Economics Bulletin, 41, 3, pp. 1187-1202, (2021); Econometric Analysis of Panel Data, (2005); Effective Exchange Rates, (2021); Bollerslev, Tim, Generalized autoregressive conditional heteroskedasticity, Journal of Econometrics, 31, 3, pp. 307-327, (1986); Globalizacao E Competicao Por Que Alguns Paises Emergentes Tem Sucesso E Outros Nao, (2009); Corden, Warner Max, Booming sector and de-industrialisation in a small open economy., Economic Journal, 92, 368, pp. 825-848, (1982); Real Exchange Rate and Economic Growth, (2008); Econometrica, (1982); Econometrica, (1987)","","United Nations Publications","","","","","","02512920; 16840348","","","","English","Article","Final","","Scopus","2-s2.0-105015101625"
"V.L., Fernández, Virginia Laura","Fernández, Virginia Laura (57211396606)","57211396606","Tributo a Maria da Conceição Tavares","2024","CEPAL Review","2024-December","144","","7","16","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217245544&partnerID=40&md5=70b879a8a416ddb5e262a51e1de19467","Universidade Federal do Parana, Curitiba, Brazil","Fernández, Virginia Laura, Departamento de Economía y el Programa de Posgrado, Universidade Federal do Parana, Curitiba, Brazil","[No abstract available]","","","","","","Texto Para Discussao, (2009); A Biographical Dictionary of Dissenting Economists, (1992); Revista De Economia Contemporanea, (2010); Cincuenta Anos De Pensamiento En La CEPAL Textos Seleccionados, (1998); O Futuro do Crescimento Com Igualdade no Brasil Ensaios Vencedores do Concurso Em Comemoracao Aos 70 Anos Da CEPAL LC TS 2019 13 LC Brs TS 2019 2, (2019); Fernández, Virginia Laura, FEMININE REFLECTIONS ON LATIN AMERICAN ECLAC ECONOMIC THOUGHT. DIALOGUES WITH MARIA DA CONCEIÇÃO TAVARES, Cuadernos de Economia (Colombia), 40, 84, pp. 853-873, (2021); Furtado, Celso, Development and stagnation in Latin America: A structuralist approach, Studies in Comparative International Development, 1, 11, pp. 159-175, (1965); Livre Pensar Cinebiografia Da Maria Da Conceicao Tavares Documental, (2018); Maria Da Conceicao Tavares Vida Ideias Teorias E Politicas, (2019); Maria Da Conceicao Tavares Vida Ideias Teorias E Politicas, (2019)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-85217245544"
"R., Caputo, Rodrigo; F., Ordóñez, Félix","Caputo, Rodrigo (57202243788); Ordóñez, Félix (57578207500)","57202243788; 57578207500","Terapia de choque fallida durante la dictadura militar chilena (1974-1979)","2024","CEPAL Review","2024-December","144","","39","56","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217231288&partnerID=40&md5=e38b33666102f6157df5c8021c38def8","Universidad de Santiago de Chile, Santiago, Chile","Caputo, Rodrigo, Facultad de Administración y Economía, Universidad de Santiago de Chile, Santiago, Chile; Ordóñez, Félix, Facultad de Administración y Economía, Universidad de Santiago de Chile, Santiago, Chile","[No abstract available]","","","","","Los autores agradecen a la Universidad de Santiago de Chile y a su Direcci\u00F3n de Investigaci\u00F3n Cient\u00EDfica y Tecnol\u00F3gica (DICYT) por apoyar esta investigaci\u00F3n mediante el fondo 032262CG. Tambi\u00E9n agradecen los valiosos comentarios y sugerencias de dos \u00E1rbitros an\u00F3nimos.","Aldunate, Felipe, Privatization and business groups: Evidence from the Chicago Boys in Chile: Privatization and business groups, Explorations in Economic History, 78, (2020); Chilean Economy Policy Lessons and Challenges, (1994); Studies in the Quantity Theory of Money, (1956); Historia Economica De Chile Temas Pendientes, (2024); Caputo, Rodrigo, Addiction to inflation or to fiscal deficits? The Chilean experience of 1970s, International Journal of Finance and Economics, 27, 1, pp. 99-110, (2022); A Monetary and Fiscal History of Latin America 19602017, (2022); Banco Central De Chile 1925 1964 Una Historia Institucional, (2009); Corbo, Vittorio, Reforms and macroeconomic adjustments in Chile during 1974-1984, World Development, 13, 8, pp. 893-916, (1985); Chilean Economy Policy Lessons and Challenges, (1994); La Republica En Cifras, (2016)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-85217231288"
"E.D.S., Farias, Eliene De Sá; L.B., de Mattos, Leonardo Bornacki; M.R.R., da Fonseca, Mateus Ramalho Ribeiro","Farias, Eliene De Sá (57988859100); de Mattos, Leonardo Bornacki (35088106000); da Fonseca, Mateus Ramalho Ribeiro (57214478711)","57988859100; 35088106000; 57214478711","Sistemas de metas de inflación y tipos de cambio: el papel de las variables financieras mundiales en los países emergentes","2024","CEPAL Review","2024-December","144","","99","117","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217221690&partnerID=40&md5=cba0392e2d59757fae12421a7fdb3a92","Universidade Federal de Vicosa, Vicosa, Brazil; Universidade Federal de Vicosa, Vicosa, Brazil; Universidade UniCesumar, Maringa, Brazil","Farias, Eliene De Sá, Universidade Federal de Vicosa, Vicosa, Brazil; de Mattos, Leonardo Bornacki, Departamento de Economia Rural, Universidade Federal de Vicosa, Vicosa, Brazil; da Fonseca, Mateus Ramalho Ribeiro, Universidade UniCesumar, Maringa, Brazil","[No abstract available]","","","","","La autora agradece el apoyo financiero de la Fundaci\u00F3n de Apoyo a la Investigaci\u00F3n del Estado de Minas Gerais (FAPEMIG). El autor agradece el apoyo financiero del Consejo Nacional de Desarrollo Cient\u00EDfico y Tecnol\u00F3gico (CNPq) por medio de la bolsa de productividad en investigaci\u00F3n PQ-2.","Abadie, Alberto, Semiparametric difference-in-differences estimators, Review of Economic Studies, 72, 1, pp. 1-19, (2005); Aghion, Philippe, Exchange rate volatility and productivity growth: The role of financial development, Journal of Monetary Economics, 56, 4, pp. 494-513, (2009); Aizenman, Joshua, Inflation Targeting and Real Exchange Rates in Emerging Markets, World Development, 39, 5, pp. 712-724, (2011); Ali, Syed Zahid, Can exchange rate pass-through explain the price puzzle?, Economics Letters, 145, pp. 56-59, (2016); Amato, Jeffery D., Inflation targeting in emerging market and transition economies: Lessons after a decade, European Economic Review, 46, 4-5, pp. 781-790, (2002); An, Lian, Exchange Rate Pass-Through: Evidence Based on Vector Autoregression with Sign Restrictions, Open Economies Review, 23, 2, pp. 359-380, (2012); Anderl, Christina, Nonlinearities in the exchange rate pass-through: The role of inflation expectations, International Economics, 173, pp. 86-101, (2023); Azad, Nahiyan Faisal, Monetary policy spillovers in emerging economies, International Journal of Finance and Economics, 25, 4, pp. 664-683, (2020); Relatorio De Inflacao, (2016); Baum, Christopher F., On the sensitivity of the volume and volatility of bilateral trade flows to exchange rate uncertainty, Journal of International Money and Finance, 29, 1, pp. 79-93, (2010)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-85217221690"
"K., Ferreira, Kethelyn; M.R., Castilho, Marta Reis","Ferreira, Kethelyn (59548370100); Castilho, Marta Reis (27567499600)","59548370100; 27567499600","Estructura del empleo asociado al comercio internacional en el Brasil desde una perspectiva de género","2024","CEPAL Review","2024-December","144","","139","166","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217214648&partnerID=40&md5=c9874490cd4bff444e07c9f266c240a1","Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil","Ferreira, Kethelyn, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Castilho, Marta Reis, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil","[No abstract available]","","","","","","Texto Para Discussao 025 2020 Instituto De Economia Ie, (2020); Segundo Encuentro Nacional De Economia Industrial E Innovacion Blucher Engineering Proceedings, (2017); Andreoni, Antonio, Escaping the middle-income technology trap: A comparative analysis of industrial policies in China, Brazil and South Africa, Structural Change and Economic Dynamics, 54, pp. 324-340, (2020); Capitulo Latinoamericano De La Red Internacional De Genero Y Comercio La Igtn, (2009); Genero Y Comercio Una Relacion A Distintas Velocidades, (2020); Barrientos, Stephanie Ware, Gender, flexibility and global value chains, IDS Bulletin, 32, 3, pp. 83-93, (2001); Bresser-Pereira, Luiz Carlos, The reconstruction of the Brazilian industry: The connection between the macroeconomic regime and the industrial policy, Brazilian Journal of Political Economy, 36, 3, pp. 493-513, (2016); Revista Estudos Feministas, (2004); Serie Seminarios Y Talleres, (2005); Cassini, Lorenzo, Services as drivers of economic growth. Is there an opportunity for Latin America countries?, Economics of Innovation and New Technology, 29, 7, pp. 762-783, (2020)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-85217214648"
"F., Verruck, Fábio; R.B., Gonçalves, Roberto Birch; I.C., Poletto, Isadora Conte","Verruck, Fábio (58202521500); Gonçalves, Roberto Birch (56599867000); Poletto, Isadora Conte (59548369100)","58202521500; 56599867000; 59548369100","Uso del análisis comparativo para mejorar la movilidad urbana: una nueva herramienta para construir ciudades inteligentes en países emergentes","2024","CEPAL Review","2024-December","144","","167","185","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217213192&partnerID=40&md5=9bae01254a9d1930b368bde6fae9c5d0","Universidade de Caxias do Sul, Caxias do Sul, Brazil; Poletto Seguros, Brazil","Verruck, Fábio, Department of Social Sciences, Universidade de Caxias do Sul, Caxias do Sul, Brazil; Gonçalves, Roberto Birch, Department of Social Sciences, Universidade de Caxias do Sul, Caxias do Sul, Brazil; Poletto, Isadora Conte, Departamento Comercial, Poletto Seguros, Brazil","[No abstract available]","","","","","","As 50 Cidades Mais Inteligentes do Brasil Em 2016, (2016); Acheampong, Ransford A., Mobility-on-demand: An empirical study of internet-based ride-hailing adoption factors, travel characteristics and mode substitution effects, Transportation Research Part C: Emerging Technologies, 115, (2020); Acuto, Michele, Building a global urban science, Nature Sustainability, 1, 1, pp. 2-4, (2018); Ahvenniemi, Hannele, What are the differences between sustainable and smart cities?, Cities, 60, pp. 234-245, (2017); Albino, Vito, Smart cities: Definitions, dimensions, performance, and initiatives, Journal of Urban Technology, 22, 1, pp. 3-21, (2015); Angelidou, Margarita, The Role of Smart City Characteristics in the Plans of Fifteen Cities, Journal of Urban Technology, 24, 4, pp. 3-28, (2017); Ardito, Lorenzo, The role of universities in the knowledge management of smart city projects, Technological Forecasting and Social Change, 142, pp. 312-321, (2019); Arneodo, Fabrizio, Towards a 'Smart Region' paradigm: Beyond Smart Cities borders: Piedmont Region experience, (2017); Barns, Sarah, Smart cities and urban data platforms: Designing interfaces for smart governance, City, Culture and Society, 12, pp. 5-12, (2018); Batty, Michael J., Smart cities of the future, European Physical Journal: Special Topics, 214, 1, pp. 481-518, (2012)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-85217213192"
"N., Zhou, Nan; J., Li, Jing","Zhou, Nan (57211337108); Li, Jing (57209369089)","57211337108; 57209369089","Reflexiones sobre la cooperación chino-brasileña en el siglo XXI desde la perspectiva china","2024","CEPAL Review","2024-December","144","","187","200","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000453548&partnerID=40&md5=7adcd85fd8a01b87184d79b5dcf781c5","Renmin University of China, Beijing, China; Renmin University of China, Beijing, China","Zhou, Nan, Departamento de Español e Investigadora del Instituto de Estudios Globales y Regionales, Renmin University of China, Beijing, China; Li, Jing, Renmin University of China, Beijing, China","[No abstract available]","","","","","","World Inequality Report 2018, (2018); Nao Bastasse O Coronavirus Precisamos Enfrentar Tambem O Comunavirus, (2020); 2021 Annual Report, (2022); Dialogo Chino, (2021); Cui, Shoujun, Framing sino-venezuelan oil cooperation: Perspective from China, America Latina Hoy, 82, pp. 85-100, (2019); Analisis De La Estrategia Comercial Internacional De Gree Segunda Parte, (2021); Como A Guerra Comercial Entre Eua E China Pode Afetar O Brasil, (2018); China Quer Investir Em Infraestrutura no Brasil E Comprar Mais Alimentos, (2019); Semp Tcl Inaugurates Its Third Factory in Brazil, (2022); Interdependence of China United States and Brazil in Soybean Trade, (2019)","","United Nations Publications","","","","","","02512920; 16840348","","","","Spanish","Article","Final","","Scopus","2-s2.0-105000453548"
